INITIAL_BALANCE;CREDITS;DEBITS;FINAL_BALANCE
0,00;1.043.040,00;-1.042.602,62;437,38

RELEASE_DATE;TRANSACTION_TYPE;REFERENCE_ID;TRANSACTION_NET_AMOUNT;PARTIAL_BALANCE
01-04-2026;Reembolso Envío cancelado a Klezia Dos Passos Cunha;149860762700;126,02;126,02
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149860762700;-126,02;0,00
01-04-2026;Reembolso Reclamações e devoluções;149860762700;475,21;475,21
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149860762700;-475,21;0,00
01-04-2026;Reembolso ;147338727157;99,10;99,10
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;147338723239;-20,99;78,11
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;147338727157;-67,70;10,41
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149889622605;-10,41;0,00
01-04-2026;Reembolso Reclamações e devoluções;147338727157;213,60;213,60
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;147338727157;-213,60;0,00
01-04-2026;Reembolso ;149396586469;25,10;25,10
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149396586469;-25,10;0,00
01-04-2026;Reembolso Reclamações e devoluções;149396586469;75,28;75,28
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149396586469;-75,28;0,00
01-04-2026;Reembolso Reclamações e devoluções;151044484400;24,19;24,19
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;147338727157;-24,19;0,00
01-04-2026;Reembolso Reembolso de tarifas;149702487230;360,72;360,72
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149702487230;-360,72;0,00
01-04-2026;Reembolso Reclamações e devoluções;149702487230;1.274,33;1.274,33
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149702487230;-1.274,33;0,00
01-04-2026;Reembolso Reclamações e devoluções;150920192912;30,07;30,07
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149702487230;-30,07;0,00
01-04-2026;Entrada de dinheiro ;149154807677;20,40;20,40
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149154807677;-20,40;0,00
01-04-2026;Reembolso Reclamações e devoluções;149154807677;187,65;187,65
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149154807677;-187,65;0,00
01-04-2026;Pagamento com código QR Pix cancelado MARIA ONIAS DOS SANTOS;149154807677;41,90;41,90
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;147338727157;-7,21;34,69
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149702487230;-13,74;20,95
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149154807677;-20,95;0,00
01-04-2026;Reembolso Reclamações e devoluções;2969660646;485,92;485,92
01-04-2026;Débito por dívida Envio do Mercado Livre;149487901995;-36,90;449,02
01-04-2026;Débito por dívida Envio do Mercado Livre;150103752465;-52,50;396,52
01-04-2026;Débito por dívida Envio do Mercado Livre;149792728980;-24,70;371,82
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149702487230;-24,84;346,98
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;151274324819;-207,26;139,72
01-04-2026;Liberação de dinheiro ;151274324819;150,42;290,14
01-04-2026;Reembolso Envío cancelado a Odaly Ricardo De Sousa;151274324819;56,84;346,98
01-04-2026;Débito por dívida Envio do Mercado Livre;150577214619;-49,30;297,68
01-04-2026;Liberação de dinheiro ;147837578243;62,68;360,36
01-04-2026;Liberação de dinheiro ;151362750048;38,79;399,15
01-04-2026;Liberação de dinheiro ;150906597186;10,99;410,14
01-04-2026;Liberação de dinheiro ;150906607084;69,75;479,89
01-04-2026;Pagamento com Código QR Pix IVANILDO VIEIRA ALVES DE SOUSA;150607961166;18,97;498,86
01-04-2026;Pagamento com Código QR Pix A FERNANDES DA SILVA JUNIOR LTDA;150436396777;41,18;540,04
01-04-2026;Débito por dívida Envio do Mercado Livre;151301099655;-32,90;507,14
01-04-2026;Liberação de dinheiro ;149702912378;39,90;547,04
01-04-2026;Dinheiro retido Reclamações e devoluções;148384451092;-285,33;261,71
01-04-2026;Pagamento com Código QR Pix Marta Adriele Resende Rodrigues;149940682975;48,57;310,28
01-04-2026;Liberação de dinheiro ;151235217504;59,75;370,03
01-04-2026;Liberação de dinheiro ;149600126852;13,60;383,63
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;151203547044;-117,40;266,23
01-04-2026;Dinheiro recebido ;151203547044;89,72;355,95
01-04-2026;Reembolso Envío cancelado a Diego Morais Da Silva Miranda;151203547044;27,68;383,63
01-04-2026;Liberação de dinheiro ;148986498145;31,14;414,77
01-04-2026;Liberação de dinheiro ;150965141128;21,48;436,25
01-04-2026;Pagamento com Código QR Pix GIOVANA PEREIRA DE OLIVEIRA;150892877044;123,40;559,65
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;150044004705;-279,90;279,75
01-04-2026;Reembolso Envío cancelado a Alexander Da Silva Nascimento;150044004705;61,94;341,69
01-04-2026;Reembolso Reclamações e devoluções;150044004705;217,96;559,65
01-04-2026;Pagamento com Código QR Pix ALEX SANDRO FERREIRA;150490691435;105,13;664,78
01-04-2026;Liberação de dinheiro ;150336559342;388,31;1.053,09
01-04-2026;Liberação de dinheiro ;149542717298;75,09;1.128,18
01-04-2026;Pagamento com Código QR Pix MURILO PEDRO ENEIAS SOUSA;149587060415;565,15;1.693,33
01-04-2026;Liberação de dinheiro ;150460486635;135,38;1.828,71
01-04-2026;Débito por dívida Envio do Mercado Livre;149776746537;-30,90;1.797,81
01-04-2026;Dinheiro recebido ;150031843661;250,43;2.048,24
01-04-2026;Liberação de dinheiro ;150440024197;19,61;2.067,85
01-04-2026;Pagamento com Código QR Pix Emerson lima dos santos;148972289239;85,52;2.153,37
01-04-2026;Liberação de dinheiro ;148972465055;35,00;2.188,37
01-04-2026;Dinheiro retido Reclamações e devoluções;148229383133;-1.286,43;901,94
01-04-2026;Liberação de dinheiro ;151168427726;53,31;955,25
01-04-2026;Liberação de dinheiro ;149048598903;52,56;1.007,81
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;150834493001;-93,89;913,92
01-04-2026;Pagamento com Código QR Pix VANIA PEREIRA DA SILVA;150834493001;56,40;970,32
01-04-2026;Dinheiro retido Reclamações e devoluções;150834493001;-56,40;913,92
01-04-2026;Reembolso Envío cancelado a VANIA PEREIRA DA SILVA;150834493001;37,49;951,41
01-04-2026;Reembolso Reclamações e devoluções;150834493001;56,40;1.007,81
01-04-2026;Liberação de dinheiro ;150690721299;34,63;1.042,44
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;150964178005;-29,00;1.013,44
01-04-2026;Pagamento com Código QR Pix 58 851 966 RONALD MENEZES DE MENDONCA;150964178005;18,03;1.031,47
01-04-2026;Entrada de dinheiro ;150964178005;3,48;1.034,95
01-04-2026;Pagamento com Código QR Pix ROBERT AURELIO PEREIRA DE MENDONCA;150373732201;47,28;1.082,23
01-04-2026;Liberação de dinheiro ;149279451029;23,23;1.105,46
01-04-2026;Liberação de dinheiro ;151012120100;260,58;1.366,04
01-04-2026;Dinheiro retido Reclamações e devoluções;151012120100;-260,58;1.105,46
01-04-2026;Dinheiro recebido ;147811660419;409,94;1.515,40
01-04-2026;Liberação de dinheiro ;149732938508;279,56;1.794,96
01-04-2026;Liberação de dinheiro ;149340118856;44,32;1.839,28
01-04-2026;Dinheiro retido Reclamações e devoluções;149685087370;-222,89;1.616,39
01-04-2026;Liberação de dinheiro ;150877190477;18,03;1.634,42
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;150818435422;-167,94;1.466,48
01-04-2026;Liberação de dinheiro ;150818435422;132,23;1.598,71
01-04-2026;Reembolso Envío cancelado a Mariana De Campos Lima;150818435422;35,71;1.634,42
01-04-2026;Débito por dívida Envio do Mercado Livre;151579338066;-96,10;1.538,32
01-04-2026;Liberação de dinheiro ;150891859126;27,62;1.565,94
01-04-2026;Liberação de dinheiro ;151216278522;47,63;1.613,57
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;151411777320;-182,41;1.431,16
01-04-2026;Liberação de dinheiro ;151411777320;140,67;1.571,83
01-04-2026;Entrada de dinheiro ;151411777320;17,92;1.589,75
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;152078440893;-1.589,75;0,00
01-04-2026;Liberação de dinheiro ;152078440893;1.353,74;1.353,74
01-04-2026;Dinheiro retido Reclamações e devoluções;152078440893;-1.353,74;0,00
01-04-2026;Reembolso ;152078440893;423,08;423,08
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;152078440893;-187,07;236,01
01-04-2026;Reembolso Reclamações e devoluções;152078440893;1.353,74;1.589,75
01-04-2026;Pagamento com Código QR Pix LUCAS CARVALHO QUEIROZ;150626782566;100,97;1.690,72
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149148245105;-99,10;1.591,62
01-04-2026;Reembolso Envío cancelado a Josevan Da Silva Ferreira;149148245105;21,17;1.612,79
01-04-2026;Reembolso Reclamações e devoluções;149148245105;77,93;1.690,72
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;146783345557;-48,04;1.642,68
01-04-2026;Reembolso Envío cancelado a 51.961.782 LUIS HENRIQUE MARTINS LIMA;146783345557;21,94;1.664,62
01-04-2026;Reembolso Reclamações e devoluções;146783345557;26,10;1.690,72
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;151582599405;-579,90;1.110,82
01-04-2026;Liberação de dinheiro ;151582599405;437,27;1.548,09
01-04-2026;Reembolso Envío cancelado a Gizelle Oliveira Brito;151582599405;142,63;1.690,72
01-04-2026;Pagamento com Código QR Pix ALEXSANDRO TEIXEIRA SANTANA;150744217980;343,45;2.034,17
01-04-2026;Liberação de dinheiro ;151090970124;149,93;2.184,10
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149993832783;-1.511,91;672,19
01-04-2026;Liberação de dinheiro ;149993832783;1.303,22;1.975,41
01-04-2026;Reembolso ;149993832783;208,69;2.184,10
01-04-2026;Liberação de dinheiro ;150445976477;232,41;2.416,51
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;149658051672;-32,16;2.384,35
01-04-2026;Reembolso ;149658051672;9,42;2.393,77
01-04-2026;Liberação de dinheiro ;150140944327;36,16;2.429,93
01-04-2026;Reembolso Reclamações e devoluções;149658051672;22,74;2.452,67
01-04-2026;Dinheiro recebido ;151619565561;56,56;2.509,23
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;151619565561;-71,88;2.437,35
01-04-2026;Reembolso Envío cancelado a Felipe Acelino De Freitas;151619565561;15,32;2.452,67
01-04-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;152067665048;-86,62;2.366,05
01-04-2026;Liberação de dinheiro ;152067665048;62,22;2.428,27
01-04-2026;Reembolso Envío cancelado a Alexandre Pinto Sousa;152067665048;24,40;2.452,67
01-04-2026;Pagamento com Código QR Pix NATAL DONIZETI NARDIN;151187160598;95,64;2.548,31
01-04-2026;Pagamento com Código QR Pix Daniel Santos Cunha;150864512950;244,76;2.793,07
01-04-2026;Débito por troca de produto ;143547482593;-78,90;2.714,17
01-04-2026;Entrada de dinheiro ;143547482593;16,22;2.730,39
01-04-2026;Reembolso Reclamações e devoluções;2937122734;62,68;2.793,07
01-04-2026;Liberação de dinheiro cancelada Venda cancelada;148536369744;-75,84;2.717,23
