INITIAL_BALANCE;CREDITS;DEBITS;FINAL_BALANCE
2.026,43;57.496,96;-55.171,34;4.352,05

RELEASE_DATE;TRANSACTION_TYPE;REFERENCE_ID;TRANSACTION_NET_AMOUNT;PARTIAL_BALANCE
01-05-2026;Pix enviado LILLIAN DA ROCHA;156458018477;-350,00;1.676,43
01-05-2026;Pagamento com Código QR Pix PEDRO HENRIQUE VIANA BORGES;155604279118;60,65;1.737,08
01-05-2026;Liberação de dinheiro ;154614203383;90,01;1.827,09
01-05-2026;Dinheiro recebido ;154943349014;151,21;1.978,30
01-05-2026;Pagamento com Código QR Pix FABIANO NICHELE;154327868251;362,53;2.340,83
01-05-2026;Liberação de dinheiro ;153899238017;10,46;2.351,29
01-05-2026;Liberação de dinheiro ;154848819933;408,40;2.759,69
01-05-2026;Bônus por envio Mercado Envios;155604188728;10,90;2.770,59
01-05-2026;Liberação de dinheiro ;155662195994;237,33;3.007,92
02-05-2026;Liberação de dinheiro ;155945634936;372,06;3.379,98
02-05-2026;Liberação de dinheiro ;155979744848;84,15;3.464,13
02-05-2026;Liberação de dinheiro ;155006964995;134,29;3.598,42
02-05-2026;Liberação de dinheiro ;155916685156;97,53;3.695,95
02-05-2026;Liberação de dinheiro ;155719697558;90,49;3.786,44
02-05-2026;Liberação de dinheiro ;154906415899;593,62;4.380,06
03-05-2026;Pagamento com Código QR Pix Amanda Mercedes Ortega Orta;156176755336;73,09;4.453,15
03-05-2026;Liberação de dinheiro ;155250743079;224,74;4.677,89
03-05-2026;Dinheiro retido Reclamações e devoluções;155250743079;-224,74;4.453,15
04-05-2026;Pix recebido Leonardo Ferreira Cruz Maia;156097359468;86,09;4.539,24
04-05-2026;Dinheiro retido Reclamações e devoluções;156097359468;-86,09;4.453,15
04-05-2026;Liberação de dinheiro ;155022579023;399,17;4.852,32
04-05-2026;Reembolso Envío cancelado a Lilian Barbosa Oliveira;157659759840;86,22;4.938,54
04-05-2026;Liberação de dinheiro ;157659759840;428,68;5.367,22
04-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;157659759840;-428,68;4.938,54
04-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;157659759840;-86,22;4.852,32
04-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;152142750934;-9,99;4.842,33
04-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;151409038507;-78,87;4.763,46
04-05-2026;Reembolso ;151409038507;28,31;4.791,77
04-05-2026;Dinheiro retido Reclamações e devoluções;154055715545;-181,26;4.610,51
05-05-2026;Débito por dívida Envio do Mercado Livre;155257248361;-42,30;4.568,21
05-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;151245542503;-899,90;3.668,31
05-05-2026;Entrada de dinheiro ;151245542503;107,99;3.776,30
05-05-2026;Reembolso Reclamações e devoluções;151245542503;744,21;4.520,51
05-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;156930530271;-1.414,90;3.105,61
05-05-2026;Pagamento com Código QR Pix MARCOS H S DE ALBUQUERUQR;156930530271;1.192,25;4.297,86
05-05-2026;Reembolso Envío cancelado a MARCOS H S DE ALBUQUERUQR;156930530271;222,65;4.520,51
05-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;156097359468;-118,90;4.401,61
05-05-2026;Entrada de dinheiro ;156097359468;14,27;4.415,88
05-05-2026;Reembolso Reclamações e devoluções;156097359468;86,09;4.501,97
05-05-2026;Liberação de dinheiro ;154499304307;197,76;4.699,73
05-05-2026;Liberação de dinheiro ;155353402857;90,01;4.789,74
05-05-2026;Liberação de dinheiro ;156234157234;293,40;5.083,14
05-05-2026;Liberação de dinheiro ;155345005105;1.120,57;6.203,71
05-05-2026;Pagamento com Código QR Pix Silvio De Souza ribeiro;154905390291;46,26;6.249,97
05-05-2026;Liberação de dinheiro ;155861620848;10,66;6.260,63
06-05-2026;Dinheiro retido Reclamações e devoluções;154605876828;-426,89;5.833,74
06-05-2026;Pagamento Mercado Libre;157961304632;-252,00;5.581,74
06-05-2026;Dinheiro recebido ;155874243929;73,09;5.654,83
06-05-2026;Pagamento com Código QR Pix ARILDO PINTO CERQUEIRA;154264708655;96,09;5.750,92
06-05-2026;Dinheiro retido Reclamações e devoluções;154264708655;-96,09;5.654,83
06-05-2026;Liberação de dinheiro ;154908157047;475,05;6.129,88
06-05-2026;Pagamento de conta Itaú Unibanco  S.A.;158006900994;-1.900,24;4.229,64
06-05-2026;Liberação de dinheiro ;155816694861;107,77;4.337,41
06-05-2026;Dinheiro recebido ;155611442569;311,47;4.648,88
06-05-2026;Dinheiro recebido ;155961367980;1.137,47;5.786,35
06-05-2026;Liberação de dinheiro ;155744302009;20,58;5.806,93
06-05-2026;Débito por dívida Envio do Mercado Livre;156097359468;-30,90;5.776,03
