INITIAL_BALANCE;CREDITS;DEBITS;FINAL_BALANCE
437,38;1.113.591,86;-1.084.042,18;29.987,06

RELEASE_DATE;TRANSACTION_TYPE;REFERENCE_ID;TRANSACTION_NET_AMOUNT;PARTIAL_BALANCE
01-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;151519411187;-28,25;409,13
01-05-2026;Entrada de dinheiro ;151519411187;2,87;412,00
01-05-2026;Reembolso Reclamações e devoluções;151519411187;18,73;430,73
01-05-2026;Débito por dívida Envio do Mercado Livre;155296686991;-47,30;383,43
01-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;154519581321;-99,00;284,43
01-05-2026;Reembolso Envío cancelado a Moizeis Barbosa Gomes Dos Santos;154519581321;24,23;308,66
01-05-2026;Reembolso Reclamações e devoluções;154519581321;74,77;383,43
01-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;154644432656;-383,43;0,00
01-05-2026;Reembolso Reembolso de tarifas;154644432656;471,39;471,39
01-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;154644432656;-471,39;0,00
01-05-2026;Reembolso Reclamações e devoluções;3086931516;1.517,85;1.517,85
01-05-2026;Débito por dívida Devoluções e reclamações no Mercado Livre;154644432656;-1.187,28;330,57
01-05-2026;Débito por dívida Envio do Mercado Livre;155140453481;-39,70;290,87
01-05-2026;Débito por dívida Envio do Mercado Livre;154339190647;-28,70;262,17
01-05-2026;Reembolso Reclamações e devoluções;153881548779;35,21;297,38
01-05-2026;Débito por dívida Envio do Mercado Livre;154541266429;-11,07;286,31
01-05-2026;Débito por dívida Envio do Mercado Livre;154915950361;-11,21;275,10
01-05-2026;Pagamento com Código QR Pix MARCELO DE AZEVEDO NUNES;155076735270;415,92;691,02
01-05-2026;Liberação de dinheiro ;155553988774;112,30;803,32
01-05-2026;Liberação de dinheiro ;154545971607;41,75;845,07
01-05-2026;Débito por dívida Envio do Mercado Livre;155968695302;-52,50;792,57
